YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,TAIL_NUM,FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,DEP_DEL15,ARR_DEL15,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE
2017,3,7,17,1,RU,VQBLQ,RU117 ,SVO,FRA,1210,1158,-12,1535,1501,-34,0,0,0,0,205,183,1572
2017,3,7,24,1,RU,VQBLQ,RU117 ,SVO,FRA,1210,1300,50,1535,1614,39,1,1,0,0,205,194,1572
2017,3,8,21,1,RU,VQBLR,RU117 ,SVO,FRA,1210,1135,-35,1535,1441,-54,0,0,0,0,205,186,1572
2017,1,1,16,1,RU,VQBVR,RU117 ,SVO,FRA,1300,1250,-10,1620,1616,-4,0,0,0,0,200,206,1533
2017,1,3,6,1,RU,VQBVR,RU117 ,SVO,FRA,1300,1243,-17,1620,1654,34,0,1,0,0,200,251,1533
2017,4,10,9,1,RU,VQBVR,RU117 ,SVO,FRA,1210,1200,-10,1535,1515,-20,0,0,0,0,205,195,1572
2017,4,10,23,1,RU,VPBIG,RU119 ,SVO,PVG,1015,922,-53,1905,1752,-73,0,0,0,0,530,510,4063
2017,4,11,27,1,RU,VPBIG,RU119 ,SVO,PVG,715,656,-19,1600,1536,-24,0,0,0,0,525,520,4025
2017,4,12,18,1,RU,VPBIG,RU119 ,SVO,PVG,715,705,-10,1600,1555,-5,0,0,0,0,525,530,4025
2017,1,3,13,1,RU,VPBIK,RU119 ,SVO,PVG,1020,1355,215,1900,2212,192,1,1,0,0,520,497,3987
2018,2,4,23,1,RU,VPBIK,RU119 ,SVO,PVG,1015,1014,-1,1905,1919,14,0,0,0,0,530,545,4063
2017,1,1,30,1,RU,VPBIM,RU119 ,SVO,PVG,1020,903,-77,1900,1813,-47,0,0,0,0,520,550,3987
2017,3,8,1,2,RU,VPBIM,RU119 ,SVO,PVG,1000,830,-90,1850,1735,-75,0,0,0,0,530,545,4063
2018,1,2,5,1,RU,VPBIM,RU119 ,SVO,PVG,715,1615,540,1600,120,560,1,1,0,0,525,545,4025
2018,2,4,30,1,RU,VPBIM,RU119 ,SVO,PVG,1015,1002,-13,1905,1845,-20,0,0,0,0,530,523,4063
2018,3,7,23,1,RU,VPBIM,RU119 ,SVO,PVG,1015,1030,15,1905,1930,25,0,1,0,0,530,540,4063
2019,1,3,4,1,RU,VPBIM,RU119 ,SVO,PVG,705,708,3,1600,1551,-9,0,0,0,0,535,523,4102
2017,1,1,16,1,RU,VQBUU,RU119 ,SVO,PVG,1020,918,-62,1900,1803,-57,0,0,0,0,520,525,3987
2017,4,10,2,1,RU,VQBUU,RU119 ,SVO,PVG,1015,930,-45,1905,1820,-45,0,0,0,0,530,530,4063
2018,1,2,12,1,RU,VQBUU,RU119 ,SVO,PVG,715,711,-4,1600,1621,21,0,1,0,0,525,550,4025
2018,1,3,12,1,RU,VQBUU,RU119 ,SVO,PVG,715,649,-26,1600,1548,-12,0,0,0,0,525,539,4025
2018,3,7,9,1,RU,VQBUU,RU119 ,SVO,PVG,950,911,-39,1840,1811,-29,0,0,0,0,530,540,4063
2017,1,1,23,1,RU,VQBWW,RU119 ,SVO,PVG,1020,910,-70,1900,1809,-51,0,0,0,0,520,539,3987
2017,1,2,27,1,RU,VQBWW,RU119 ,SVO,PVG,1020,1841,501,1900,258,478,1,1,0,0,520,497,3987
