Flight#,TAIL_NUM,ORIGIN,DEST,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,CRS_DEP_TIME,ARR_DEL15
RU102 ,VPBIG,DFW,AMS,5,21,1,700,0
RU102 ,VPBIG,DFW,AMS,7,30,1,700,0
RU102 ,VPBIG,DFW,AMS,10,29,1,700,0
RU102 ,VPBIG,DFW,LGG,10,9,1,700,1
RU102 ,VPBIK,DFW,AMS,3,25,1,700,1
RU102 ,VPBIM,DFW,AMS,7,9,1,640,0
RU102 ,VPBIM,DFW,AMS,8,13,1,700,0
RU102 ,VPBIM,DFW,AMS,9,3,1,640,0
RU102 ,VPBIM,DFW,AMS,12,17,1,700,0
RU102 ,VQBWW,DFW,AMS,3,12,1,820,1
RU102 ,VQBWW,DFW,AMS,3,4,1,725,1
RU102 ,VQBIA,DFW,AMS,11,19,1,700,1
RU102 ,VPBBL,DFW,AMS,1,9,1,710,0
RU102 ,VPBBL,DFW,AMS,3,13,1,710,1
RU102 ,VPBBL,DFW,AMS,4,24,1,700,1
RU102 ,VPBBL,DFW,AMS,7,3,1,700,0
RU102 ,VPBBL,DFW,AMS,8,28,1,700,0
RU102 ,VPBBL,DFW,AMS,9,4,1,700,1
RU102 ,VPBBL,DFW,AMS,4,23,1,645,0
RU102 ,VPBBL,DFW,AMS,11,12,1,700,1
RU102 ,VPBBL,DFW,LGG,11,6,1,755,0
RU102 ,VPBBL,DFW,LGG,11,27,1,755,0
RU102 ,VPBBL,DFW,LGG,1,28,1,700,1
RU102 ,VPBBP,DFW,AMS,5,1,1,700,1
RU102 ,VPBBP,DFW,AMS,5,22,1,700,0
RU102 ,VPBBP,DFW,AMS,6,19,1,700,0
RU102 ,VPBBP,DFW,AMS,7,17,1,700,0
RU102 ,VPBBP,DFW,AMS,12,4,1,755,0
RU102 ,VPBBP,DFW,AMS,1,8,1,755,1
RU102 ,VPBBP,DFW,AMS,1,29,1,755,0
RU102 ,VPBBP,DFW,AMS,4,9,1,645,1
RU102 ,VPBBP,DFW,AMS,8,6,1,700,1
RU102 ,VPBBP,DFW,AMS,8,20,1,700,0
RU102 ,VPBBP,DFW,AMS,11,26,1,700,1
RU102 ,VPBBP,DFW,LGG,1,14,1,700,1
RU102 ,VPBBP,DFW,LGG,1,21,1,700,0
RU102 ,VPBBY,DFW,AMS,1,15,1,755,0
RU102 ,VPBBY,DFW,AMS,6,4,1,700,1
RU102 ,VPBBY,DFW,AMS,11,5,1,700,0
RU102 ,VPBBY,DFW,AMS,3,18,1,700,1
RU102 ,VPBBY,DFW,LGG,10,30,1,755,0
RU102 ,VPBBY,DFW,LGG,11,13,1,755,0
RU102 ,VPBBY,DFW,LGG,11,20,1,755,1
RU102 ,VPBBY,DFW,LGG,2,18,1,605,0
RU102 ,VPBJS,DFW,AMS,3,11,1,700,0
RU102 ,VQBFE,DFW,AMS,3,27,1,700,1
RU102 ,VQBFE,DFW,AMS,5,8,1,700,0
RU102 ,VQBFE,DFW,AMS,7,10,1,700,0
RU102 ,VQBFE,DFW,AMS,7,31,1,700,0
RU102 ,VQBFE,DFW,AMS,2,26,1,820,0
RU102 ,VQBFE,DFW,AMS,3,5,1,820,1
RU102 ,VQBFU,DFW,AMS,1,16,1,710,1
RU102 ,VQBFU,DFW,AMS,2,13,1,710,0
RU102 ,VQBFU,DFW,AMS,5,15,1,700,0
RU102 ,VQBFU,DFW,AMS,9,18,1,700,0
RU102 ,VQBFU,DFW,AMS,12,18,1,755,0
RU102 ,VQBFU,DFW,AMS,1,22,1,755,0
RU102 ,VQBFU,DFW,AMS,2,19,1,820,0
RU102 ,VQBFU,DFW,AMS,4,2,1,645,0
RU102 ,VQBFU,DFW,AMS,4,30,1,645,0
RU102 ,VQBFU,DFW,AMS,5,7,1,700,0
RU102 ,VQBFU,DFW,AMS,7,16,1,700,0
RU102 ,VQBFU,DFW,AMS,7,23,1,700,0
RU102 ,VQBGZ,DFW,AMS,3,20,1,710,1
RU102 ,VQBGZ,DFW,AMS,5,29,1,700,0
RU102 ,VQBGZ,DFW,AMS,6,5,1,700,0
RU102 ,VQBGZ,DFW,AMS,5,14,1,700,0
RU102 ,VQBGZ,DFW,AMS,5,28,1,700,0
RU102 ,VQBGZ,DFW,AMS,7,2,1,700,1
RU102 ,VQBGZ,DFW,AMS,9,24,1,700,1
RU102 ,VQBGZ,DFW,AMS,10,15,1,700,1
RU102 ,VQBGZ,DFW,LGG,1,7,1,700,0
RU102 ,VQBLQ,DFW,AMS,2,27,1,710,0
RU102 ,VQBLQ,DFW,AMS,3,6,1,710,1
RU102 ,VQBLQ,DFW,AMS,4,17,1,700,0
RU102 ,VQBLQ,DFW,AMS,8,7,1,700,0
RU102 ,VQBLQ,DFW,AMS,3,26,1,645,1
RU102 ,VQBLQ,DFW,AMS,4,16,1,645,1
RU102 ,VQBLQ,DFW,AMS,6,18,1,700,1
RU102 ,VQBLQ,DFW,AMS,6,25,1,700,0
RU102 ,VQBLQ,DFW,AMS,9,10,1,700,0
RU102 ,VQBLQ,DFW,AMS,9,17,1,700,1
RU102 ,VQBLQ,DFW,AMS,10,1,1,700,1
RU102 ,VQBLR,DFW,AMS,1,2,1,710,0
